t,Re(s),deviation,certified_radius
62014.000000,0.5000000000,2.17e+00,0.00e+00
81014.000000,0.5000000000,2.37e+00,0.00e+00
51014.000000,0.5000000000,2.47e+00,0.00e+00
9014.000000,0.5000000000,2.53e+00,0.00e+00
49014.000000,0.5000000000,2.57e+00,0.00e+00
99014.000000,0.5000000000,3.16e+00,0.00e+00
1014.000000,0.5000000000,3.44e+00,0.00e+00
76014.000000,0.5000000000,3.59e+00,0.00e+00
4014.000000,0.5000000000,3.69e+00,0.00e+00
90014.000000,0.5000000000,4.73e+00,0.00e+00
29014.000000,0.5000000000,5.39e+00,0.00e+00
17014.000000,0.5000000000,5.66e+00,0.00e+00
89014.000000,0.5000000000,5.91e+00,0.00e+00
64014.000000,0.5000000000,5.97e+00,0.00e+00
42014.000000,0.5000000000,6.97e+00,0.00e+00
23014.000000,0.5000000000,7.26e+00,0.00e+00
77014.000000,0.5000000000,7.61e+00,0.00e+00
83014.000000,0.5000000000,7.72e+00,0.00e+00
55014.000000,0.5000000000,1.22e+01,0.00e+00
36014.000000,0.5000000000,1.32e+01,0.00e+00
