p,q,distance,px,py,pz,qx,qy,qz
65423,9934577,1.7465122145,1.152789,-1.300026,-1.234925,2.284691,-0.002103,0.106826
65381,9934619,1.7466765499,1.152572,-1.300123,-1.234940,2.284737,-0.002102,0.106829
65123,9934877,1.7476874558,1.151234,-1.300725,-1.235025,2.285016,-0.002094,0.106844
65111,9934889,1.7477345341,1.151172,-1.300753,-1.235029,2.285029,-0.002094,0.106845
65099,9934901,1.7477816177,1.151110,-1.300781,-1.235033,2.285042,-0.002093,0.106846
64937,9935063,1.7484177651,1.150266,-1.301160,-1.235085,2.285217,-0.002088,0.106856
64901,9935099,1.7485592625,1.150078,-1.301244,-1.235097,2.285256,-0.002087,0.106858
64709,9935291,1.7493147238,1.149075,-1.301693,-1.235157,2.285464,-0.002081,0.106870
64601,9935399,1.7497402704,1.148508,-1.301946,-1.235190,2.285582,-0.002078,0.106877
64433,9935567,1.7504030922,1.147625,-1.302339,-1.235240,2.285765,-0.002072,0.106887
64271,9935729,1.7510432366,1.146771,-1.302719,-1.235288,2.285941,-0.002067,0.106897
64187,9935813,1.7513755489,1.146327,-1.302916,-1.235312,2.286033,-0.002065,0.106902
64013,9935987,1.7520647498,1.145405,-1.303324,-1.235361,2.286223,-0.002059,0.106913
63929,9936071,1.7523978737,1.144959,-1.303521,-1.235384,2.286315,-0.002057,0.106918
63809,9936191,1.7528742249,1.144321,-1.303803,-1.235416,2.286447,-0.002053,0.106926
63803,9936197,1.7528980567,1.144289,-1.303817,-1.235418,2.286454,-0.002053,0.106926
63743,9936257,1.7531364491,1.143969,-1.303958,-1.235434,2.286519,-0.002051,0.106930
63737,9936263,1.7531602958,1.143937,-1.303972,-1.235435,2.286526,-0.002051,0.106930
63629,9936371,1.7535897687,1.143360,-1.304226,-1.235464,2.286645,-0.002047,0.106937
63533,9936467,1.7539718924,1.142846,-1.304452,-1.235488,2.286750,-0.002044,0.106943
63467,9936533,1.7542348047,1.142493,-1.304607,-1.235505,2.286823,-0.002042,0.106947
63443,9936557,1.7543304501,1.142364,-1.304663,-1.235511,2.286849,-0.002041,0.106948
63419,9936581,1.7544261173,1.142235,-1.304720,-1.235517,2.286876,-0.002041,0.106950
63389,9936611,1.7545457320,1.142074,-1.304791,-1.235524,2.286909,-0.002040,0.106952
63197,9936803,1.7553120760,1.141041,-1.305243,-1.235571,2.287120,-0.002034,0.106964
63131,9936869,1.7555758307,1.140685,-1.305398,-1.235586,2.287193,-0.002032,0.106968
62987,9937013,1.7561518725,1.139907,-1.305738,-1.235620,2.287352,-0.002027,0.106977
62927,9937073,1.7563921237,1.139582,-1.305879,-1.235633,2.287419,-0.002025,0.106981
62921,9937079,1.7564161565,1.139549,-1.305893,-1.235635,2.287425,-0.002025,0.106981
62801,9937199,1.7568971001,1.138898,-1.306177,-1.235661,2.287558,-0.002021,0.106988
62591,9937409,1.7577400818,1.137756,-1.306673,-1.235706,2.287791,-0.002015,0.107002
62507,9937493,1.7580777497,1.137297,-1.306871,-1.235723,2.287885,-0.002012,0.107007
62351,9937649,1.7587055699,1.136444,-1.307240,-1.235754,2.288058,-0.002007,0.107017
62003,9937997,1.7601094892,1.134530,-1.308064,-1.235819,2.288447,-0.001996,0.107038
61979,9938021,1.7602064847,1.134398,-1.308121,-1.235824,2.288473,-0.001996,0.107040
61949,9938051,1.7603277607,1.134232,-1.308192,-1.235829,2.288507,-0.001995,0.107042
61751,9938249,1.7611290631,1.133137,-1.308661,-1.235863,2.288729,-0.001988,0.107054
61703,9938297,1.7613235490,1.132871,-1.308775,-1.235871,2.288782,-0.001987,0.107057
61583,9938417,1.7618101589,1.132204,-1.309060,-1.235890,2.288917,-0.001983,0.107065
61469,9938531,1.7622729619,1.131569,-1.309331,-1.235907,2.289045,-0.001980,0.107072
61403,9938597,1.7625411342,1.131201,-1.309487,-1.235917,2.289119,-0.001977,0.107076
61151,9938849,1.7635666446,1.129791,-1.310086,-1.235952,2.289403,-0.001970,0.107092
61007,9938993,1.7641537784,1.128982,-1.310429,-1.235970,2.289566,-0.001965,0.107101
60953,9939047,1.7643741656,1.128678,-1.310558,-1.235977,2.289627,-0.001963,0.107104
60869,9939131,1.7647172204,1.128205,-1.310758,-1.235987,2.289722,-0.001961,0.107109
60737,9939263,1.7652568741,1.127459,-1.311072,-1.236002,2.289871,-0.001957,0.107118
60659,9939341,1.7655760869,1.127017,-1.311258,-1.236010,2.289960,-0.001954,0.107123
60647,9939353,1.7656252182,1.126949,-1.311287,-1.236012,2.289973,-0.001954,0.107123
60509,9939491,1.7661906413,1.126166,-1.311616,-1.236026,2.290130,-0.001949,0.107132
60443,9939557,1.7664613307,1.125791,-1.311773,-1.236032,2.290205,-0.001947,0.107136
60383,9939617,1.7667075636,1.125450,-1.311916,-1.236037,2.290273,-0.001945,0.107140
60353,9939647,1.7668307342,1.125279,-1.311988,-1.236040,2.290307,-0.001945,0.107142
60293,9939707,1.7670771840,1.124937,-1.312131,-1.236045,2.290375,-0.001943,0.107146
60167,9939833,1.7675952003,1.124217,-1.312432,-1.236055,2.290519,-0.001939,0.107154
60107,9939893,1.7678420996,1.123873,-1.312575,-1.236060,2.290587,-0.001937,0.107157
60089,9939911,1.7679161977,1.123770,-1.312618,-1.236061,2.290608,-0.001936,0.107158
60041,9939959,1.7681138567,1.123495,-1.312733,-1.236065,2.290663,-0.001935,0.107161
60029,9939971,1.7681632861,1.123426,-1.312762,-1.236066,2.290676,-0.001934,0.107162
59999,9940001,1.7682868848,1.123254,-1.312833,-1.236068,2.290711,-0.001933,0.107164
59957,9940043,1.7684599842,1.123013,-1.312934,-1.236070,2.290759,-0.001932,0.107167
59753,9940247,1.7693017698,1.121838,-1.313422,-1.236083,2.290992,-0.001926,0.107180
59669,9940331,1.7696488787,1.121353,-1.313623,-1.236087,2.291088,-0.001923,0.107185
59651,9940349,1.7697232965,1.121249,-1.313666,-1.236088,2.291109,-0.001923,0.107186
59567,9940433,1.7700707543,1.120763,-1.313867,-1.236091,2.291205,-0.001920,0.107191
59393,9940607,1.7707914045,1.119754,-1.314284,-1.236098,2.291405,-0.001914,0.107202
59387,9940613,1.7708162766,1.119719,-1.314298,-1.236098,2.291412,-0.001914,0.107203
59357,9940643,1.7709406591,1.119545,-1.314370,-1.236099,2.291446,-0.001913,0.107205
59243,9940757,1.7714136491,1.118881,-1.314643,-1.236102,2.291577,-0.001910,0.107212
59207,9940793,1.7715631251,1.118671,-1.314730,-1.236103,2.291619,-0.001909,0.107214
59159,9940841,1.7717625093,1.118391,-1.314845,-1.236104,2.291674,-0.001907,0.107217
59141,9940859,1.7718373028,1.118286,-1.314888,-1.236104,2.291695,-0.001907,0.107218
59123,9940877,1.7719121096,1.118181,-1.314931,-1.236104,2.291716,-0.001906,0.107220
59093,9940907,1.7720368172,1.118005,-1.315003,-1.236105,2.291750,-0.001905,0.107221
58997,9941003,1.7724361308,1.117444,-1.315234,-1.236106,2.291861,-0.001902,0.107228
58727,9941273,1.7735612402,1.115858,-1.315882,-1.236106,2.292173,-0.001894,0.107245
58427,9941573,1.7748149071,1.114085,-1.316603,-1.236100,2.292521,-0.001884,0.107264
58391,9941609,1.7749655988,1.113872,-1.316690,-1.236099,2.292563,-0.001883,0.107266
58379,9941621,1.7750158414,1.113800,-1.316719,-1.236099,2.292577,-0.001883,0.107267
58109,9941891,1.7761478917,1.112194,-1.317369,-1.236088,2.292891,-0.001874,0.107284
58073,9941927,1.7762990625,1.111979,-1.317456,-1.236087,2.292933,-0.001873,0.107286
58049,9941951,1.7763998732,1.111836,-1.317514,-1.236085,2.292961,-0.001872,0.107288
58031,9941969,1.7764754971,1.111728,-1.317557,-1.236084,2.292982,-0.001872,0.107289
57923,9942077,1.7769295268,1.111082,-1.317817,-1.236078,2.293108,-0.001868,0.107296
57731,9942269,1.7777379039,1.109930,-1.318280,-1.236066,2.293332,-0.001862,0.107308
57689,9942311,1.7779149439,1.109677,-1.318382,-1.236062,2.293382,-0.001861,0.107311
57653,9942347,1.7780667518,1.109461,-1.318469,-1.236060,2.293424,-0.001860,0.107313
57593,9942407,1.7783198869,1.109099,-1.318613,-1.236055,2.293494,-0.001858,0.107317
57527,9942473,1.7785985118,1.108701,-1.318773,-1.236049,2.293571,-0.001856,0.107321
57503,9942497,1.7786998757,1.108556,-1.318831,-1.236047,2.293600,-0.001855,0.107323
57467,9942533,1.7788519675,1.108338,-1.318918,-1.236044,2.293642,-0.001854,0.107325
57413,9942587,1.7790802084,1.108012,-1.319048,-1.236039,2.293705,-0.001852,0.107328
57383,9942617,1.7792070624,1.107830,-1.319120,-1.236036,2.293740,-0.001851,0.107330
57269,9942731,1.7796894573,1.107139,-1.319396,-1.236025,2.293874,-0.001848,0.107337
57251,9942749,1.7797656756,1.107029,-1.319439,-1.236023,2.293896,-0.001847,0.107339
57203,9942797,1.7799689918,1.106738,-1.319555,-1.236018,2.293952,-0.001846,0.107342
57107,9942893,1.7803759195,1.106153,-1.319788,-1.236007,2.294065,-0.001843,0.107348
57059,9942941,1.7805795311,1.105861,-1.319904,-1.236002,2.294122,-0.001841,0.107351
56909,9943091,1.7812164537,1.104945,-1.320267,-1.235983,2.294299,-0.001836,0.107360
56873,9943127,1.7813694588,1.104724,-1.320354,-1.235979,2.294341,-0.001835,0.107363
56813,9943187,1.7816245911,1.104357,-1.320499,-1.235971,2.294412,-0.001833,0.107367
56747,9943253,1.7819054155,1.103952,-1.320659,-1.235962,2.294490,-0.001831,0.107371
56681,9943319,1.7821864276,1.103546,-1.320819,-1.235952,2.294568,-0.001829,0.107375
56543,9943457,1.7827746057,1.102697,-1.321153,-1.235932,2.294732,-0.001825,0.107384
56519,9943481,1.7828769816,1.102549,-1.321211,-1.235928,2.294760,-0.001824,0.107385
56477,9943523,1.7830561993,1.102290,-1.321313,-1.235922,2.294810,-0.001823,0.107388
56267,9943733,1.7839534352,1.100990,-1.321822,-1.235887,2.295060,-0.001816,0.107402
56123,9943877,1.7845697905,1.100096,-1.322171,-1.235861,2.295231,-0.001812,0.107411
56093,9943907,1.7846983116,1.099909,-1.322244,-1.235856,2.295267,-0.001811,0.107413
55931,9944069,1.7853930047,1.098899,-1.322638,-1.235825,2.295460,-0.001806,0.107423
55829,9944171,1.7858309932,1.098261,-1.322885,-1.235804,2.295582,-0.001802,0.107430
55823,9944177,1.7858567714,1.098224,-1.322900,-1.235803,2.295589,-0.001802,0.107430
55733,9944267,1.7862436344,1.097660,-1.323119,-1.235784,2.295697,-0.001799,0.107436
55529,9944471,1.7871218427,1.096377,-1.323615,-1.235739,2.295941,-0.001793,0.107449
55487,9944513,1.7873028780,1.096113,-1.323717,-1.235730,2.295991,-0.001792,0.107452
55469,9944531,1.7873804884,1.095999,-1.323761,-1.235725,2.296013,-0.001791,0.107453
55337,9944663,1.7879500688,1.095165,-1.324082,-1.235694,2.296171,-0.001787,0.107461
55073,9944927,1.7890915465,1.093490,-1.324724,-1.235628,2.296489,-0.001779,0.107479
55061,9944939,1.7891435055,1.093414,-1.324754,-1.235625,2.296503,-0.001778,0.107479
55049,9944951,1.7891954708,1.093337,-1.324783,-1.235621,2.296518,-0.001778,0.107480
54851,9945149,1.7900538263,1.092074,-1.325265,-1.235568,2.296757,-0.001772,0.107493
54767,9945233,1.7904185063,1.091537,-1.325470,-1.235544,2.296858,-0.001769,0.107498
54539,9945461,1.7914099465,1.090073,-1.326026,-1.235477,2.297135,-0.001762,0.107513
54419,9945581,1.7919326957,1.089299,-1.326319,-1.235440,2.297280,-0.001758,0.107521
54413,9945587,1.7919588502,1.089260,-1.326334,-1.235438,2.297287,-0.001758,0.107521
54293,9945707,1.7924822814,1.088485,-1.326627,-1.235400,2.297433,-0.001754,0.107529
54059,9945941,1.7935048459,1.086966,-1.327198,-1.235322,2.297718,-0.001747,0.107544
53951,9946049,1.7939776368,1.086263,-1.327462,-1.235285,2.297850,-0.001743,0.107551
53927,9946073,1.7940827736,1.086106,-1.327521,-1.235276,2.297879,-0.001743,0.107553
53897,9946103,1.7942142313,1.085911,-1.327594,-1.235266,2.297916,-0.001742,0.107555
53891,9946109,1.7942405278,1.085871,-1.327609,-1.235264,2.297923,-0.001742,0.107555
53831,9946169,1.7945035828,1.085479,-1.327755,-1.235242,2.297996,-0.001740,0.107559
53699,9946301,1.7950828822,1.084615,-1.328078,-1.235194,2.298158,-0.001735,0.107568
53267,9946733,1.7969843547,1.081768,-1.329136,-1.235025,2.298688,-0.001722,0.107596
53201,9946799,1.7972756138,1.081331,-1.329297,-1.234998,2.298769,-0.001720,0.107600
53171,9946829,1.7974080708,1.081132,-1.329371,-1.234986,2.298806,-0.001719,0.107602
53117,9946883,1.7976465983,1.080774,-1.329503,-1.234963,2.298873,-0.001717,0.107605
52859,9947141,1.7987880945,1.079054,-1.330135,-1.234852,2.299191,-0.001709,0.107622
52817,9947183,1.7989742121,1.078774,-1.330238,-1.234833,2.299243,-0.001708,0.107625
52757,9947243,1.7992402368,1.078372,-1.330385,-1.234806,2.299317,-0.001706,0.107629
52709,9947291,1.7994531774,1.078050,-1.330503,-1.234784,2.299376,-0.001704,0.107632
52697,9947303,1.7995064294,1.077970,-1.330532,-1.234779,2.299391,-0.001704,0.107633
52631,9947369,1.7997994352,1.077527,-1.330694,-1.234748,2.299473,-0.001702,0.107637
52583,9947417,1.8000126581,1.077204,-1.330812,-1.234726,2.299532,-0.001700,0.107640
52571,9947429,1.8000659807,1.077124,-1.330842,-1.234720,2.299547,-0.001700,0.107641
52511,9947489,1.8003326946,1.076720,-1.330989,-1.234692,2.299622,-0.001698,0.107645
52259,9947741,1.8014547367,1.075018,-1.331607,-1.234570,2.299935,-0.001690,0.107661
52163,9947837,1.8018829668,1.074367,-1.331843,-1.234522,2.300054,-0.001687,0.107668
51899,9948101,1.8030628434,1.072569,-1.332492,-1.234385,2.300384,-0.001679,0.107685
51827,9948173,1.8033852006,1.072077,-1.332669,-1.234347,2.300474,-0.001676,0.107690
51797,9948203,1.8035195888,1.071872,-1.332742,-1.234331,2.300511,-0.001676,0.107692
51713,9948287,1.8038961032,1.071296,-1.332949,-1.234285,2.300616,-0.001673,0.107697
51431,9948569,1.8051625751,1.069356,-1.333642,-1.234127,2.300970,-0.001664,0.107716
51407,9948593,1.8052705353,1.069190,-1.333701,-1.234113,2.301000,-0.001663,0.107717
51287,9948713,1.8058107507,1.068360,-1.333997,-1.234043,2.301151,-0.001659,0.107725
51203,9948797,1.8061893126,1.067778,-1.334203,-1.233994,2.301257,-0.001657,0.107731
51059,9948941,1.8068390655,1.066777,-1.334558,-1.233907,2.301438,-0.001652,0.107740
50741,9949259,1.8082774826,1.064554,-1.335341,-1.233708,2.301840,-0.001642,0.107761
50549,9949451,1.8091483347,1.063205,-1.335814,-1.233583,2.302083,-0.001636,0.107774
50513,9949487,1.8093118192,1.062951,-1.335903,-1.233559,2.302129,-0.001635,0.107776
50387,9949613,1.8098845128,1.062061,-1.336213,-1.233475,2.302289,-0.001631,0.107785
50261,9949739,1.8104579824,1.061168,-1.336524,-1.233389,2.302449,-0.001627,0.107793
50231,9949769,1.8105946373,1.060955,-1.336598,-1.233368,2.302487,-0.001626,0.107795
50111,9949889,1.8111416987,1.060102,-1.336894,-1.233284,2.302640,-0.001622,0.107803
50069,9949931,1.8113333373,1.059803,-1.336997,-1.233255,2.302694,-0.001621,0.107806
50033,9949967,1.8114976679,1.059546,-1.337086,-1.233229,2.302740,-0.001620,0.107808
49937,9950063,1.8119361952,1.058861,-1.337323,-1.233160,2.302862,-0.001617,0.107814
49919,9950081,1.8120184696,1.058732,-1.337367,-1.233147,2.302885,-0.001616,0.107816
49853,9950147,1.8123202793,1.058260,-1.337530,-1.233099,2.302970,-0.001614,0.107820
49547,9950453,1.8137223953,1.056060,-1.338285,-1.232870,2.303362,-0.001605,0.107840
49463,9950537,1.8141081030,1.055453,-1.338493,-1.232806,2.303470,-0.001602,0.107846
49391,9950609,1.8144389891,1.054932,-1.338670,-1.232750,2.303562,-0.001600,0.107851
49307,9950693,1.8148253497,1.054323,-1.338878,-1.232684,2.303670,-0.001597,0.107856
49223,9950777,1.8152120628,1.053713,-1.339085,-1.232617,2.303779,-0.001594,0.107862
49139,9950861,1.8155991289,1.053102,-1.339293,-1.232550,2.303887,-0.001592,0.107867
49121,9950879,1.8156821177,1.052970,-1.339337,-1.232535,2.303910,-0.001591,0.107869
49043,9950957,1.8160419233,1.052401,-1.339530,-1.232472,2.304011,-0.001589,0.107874
48953,9951047,1.8164574634,1.051743,-1.339752,-1.232397,2.304127,-0.001586,0.107880
48857,9951143,1.8169011553,1.051040,-1.339989,-1.232317,2.304251,-0.001583,0.107886
48809,9951191,1.8171231754,1.050688,-1.340108,-1.232277,2.304313,-0.001581,0.107889
48623,9951377,1.8179846025,1.049319,-1.340567,-1.232118,2.304554,-0.001575,0.107902
48593,9951407,1.8181237062,1.049097,-1.340641,-1.232092,2.304593,-0.001574,0.107904
48533,9951467,1.8184020506,1.048654,-1.340790,-1.232040,2.304671,-0.001573,0.107908
48497,9951503,1.8185691449,1.048388,-1.340879,-1.232008,2.304718,-0.001571,0.107910
48437,9951563,1.8188477817,1.047943,-1.341027,-1.231955,2.304796,-0.001569,0.107914
48413,9951587,1.8189592877,1.047765,-1.341086,-1.231934,2.304827,-0.001569,0.107916
48299,9951701,1.8194893412,1.046919,-1.341368,-1.231831,2.304975,-0.001565,0.107923
48281,9951719,1.8195730944,1.046785,-1.341413,-1.231815,2.304999,-0.001565,0.107925
48239,9951761,1.8197685828,1.046472,-1.341516,-1.231777,2.305054,-0.001563,0.107927
48131,9951869,1.8202716809,1.045667,-1.341783,-1.231678,2.305194,-0.001560,0.107935
47963,9952037,1.8210554645,1.044410,-1.342199,-1.231521,2.305414,-0.001555,0.107946
47711,9952289,1.8222338577,1.042515,-1.342822,-1.231280,2.305744,-0.001547,0.107963
47657,9952343,1.8224867962,1.042107,-1.342955,-1.231228,2.305815,-0.001545,0.107966
47507,9952493,1.8231901940,1.040972,-1.343326,-1.231079,2.306012,-0.001540,0.107976
47459,9952541,1.8234155273,1.040608,-1.343445,-1.231031,2.306075,-0.001539,0.107980
47441,9952559,1.8235000581,1.040471,-1.343489,-1.231013,2.306098,-0.001538,0.107981
47339,9952661,1.8239793836,1.039696,-1.343741,-1.230910,2.306233,-0.001535,0.107988
47207,9952793,1.8246004902,1.038689,-1.344068,-1.230775,2.306407,-0.001531,0.107996
47147,9952853,1.8248831115,1.038230,-1.344216,-1.230713,2.306486,-0.001529,0.108000
47051,9952949,1.8253356964,1.037495,-1.344454,-1.230612,2.306613,-0.001526,0.108007
46817,9953183,1.8264408929,1.035695,-1.345032,-1.230362,2.306922,-0.001518,0.108023
46769,9953231,1.8266679550,1.035325,-1.345151,-1.230310,2.306986,-0.001517,0.108026
46757,9953243,1.8267247395,1.035232,-1.345181,-1.230297,2.307002,-0.001516,0.108027
46601,9953399,1.8274636274,1.034024,-1.345566,-1.230125,2.307209,-0.001511,0.108037
46187,9953813,1.8294307597,1.030797,-1.346590,-1.229654,2.307760,-0.001498,0.108065
46103,9953897,1.8298309985,1.030138,-1.346798,-1.229556,2.307873,-0.001496,0.108071
46073,9953927,1.8299740321,1.029902,-1.346872,-1.229521,2.307913,-0.001495,0.108073
45971,9954029,1.8304607056,1.029099,-1.347124,-1.229400,2.308049,-0.001491,0.108080
45863,9954137,1.8309766130,1.028247,-1.347391,-1.229270,2.308194,-0.001488,0.108087
45833,9954167,1.8311200315,1.028010,-1.347465,-1.229234,2.308234,-0.001487,0.108089
45827,9954173,1.8311487209,1.027962,-1.347480,-1.229226,2.308242,-0.001487,0.108089
45707,9954293,1.8317229161,1.027012,-1.347777,-1.229080,2.308403,-0.001483,0.108098
45677,9954323,1.8318665857,1.026774,-1.347851,-1.229043,2.308443,-0.001482,0.108100
45659,9954341,1.8319528108,1.026631,-1.347896,-1.229021,2.308467,-0.001482,0.108101
45641,9954359,1.8320390532,1.026488,-1.347940,-1.228998,2.308492,-0.001481,0.108102
45533,9954467,1.8325568742,1.025628,-1.348207,-1.228864,2.308637,-0.001478,0.108109
45413,9954587,1.8331329686,1.024671,-1.348504,-1.228713,2.308798,-0.001474,0.108118
45317,9954683,1.8335944046,1.023902,-1.348741,-1.228590,2.308928,-0.001471,0.108124
45281,9954719,1.8337675717,1.023614,-1.348830,-1.228544,2.308976,-0.001470,0.108126
45119,9954881,1.8345476940,1.022311,-1.349230,-1.228333,2.309195,-0.001465,0.108137
44927,9955073,1.8354741320,1.020761,-1.349704,-1.228079,2.309455,-0.001458,0.108151
44843,9955157,1.8358800811,1.020080,-1.349912,-1.227966,2.309569,-0.001456,0.108156
44777,9955223,1.8361993117,1.019544,-1.350075,-1.227876,2.309659,-0.001454,0.108161
44729,9955271,1.8364316293,1.019154,-1.350193,-1.227811,2.309724,-0.001452,0.108164
44711,9955289,1.8365187810,1.019008,-1.350238,-1.227786,2.309748,-0.001452,0.108165
44699,9955301,1.8365768919,1.018910,-1.350267,-1.227770,2.309764,-0.001451,0.108166
44687,9955313,1.8366350108,1.018812,-1.350297,-1.227753,2.309781,-0.001451,0.108167
44651,9955349,1.8368094148,1.018519,-1.350386,-1.227704,2.309830,-0.001450,0.108169
44501,9955499,1.8375368648,1.017293,-1.350756,-1.227495,2.310034,-0.001445,0.108180
44357,9955643,1.8382363825,1.016112,-1.351112,-1.227292,2.310230,-0.001440,0.108189
43997,9956003,1.8399901952,1.013140,-1.352000,-1.226770,2.310722,-0.001429,0.108214
43973,9956027,1.8401073719,1.012941,-1.352059,-1.226735,2.310755,-0.001428,0.108216
43913,9956087,1.8404004538,1.012443,-1.352207,-1.226646,2.310837,-0.001426,0.108220
43793,9956207,1.8409872200,1.011443,-1.352503,-1.226466,2.311002,-0.001422,0.108228
43787,9956213,1.8410165794,1.011393,-1.352518,-1.226457,2.311010,-0.001422,0.108228
43721,9956279,1.8413396657,1.010842,-1.352680,-1.226357,2.311101,-0.001420,0.108233
43577,9956423,1.8420454278,1.009637,-1.353035,-1.226136,2.311299,-0.001416,0.108243
43541,9956459,1.8422220501,1.009335,-1.353124,-1.226081,2.311349,-0.001414,0.108245
43283,9956717,1.8434899758,1.007161,-1.353759,-1.225676,2.311705,-0.001406,0.108263
43271,9956729,1.8435490404,1.007059,-1.353789,-1.225657,2.311721,-0.001406,0.108264
43133,9956867,1.8442288681,1.005890,-1.354128,-1.225436,2.311912,-0.001402,0.108273
43103,9956897,1.8443767994,1.005635,-1.354202,-1.225387,2.311954,-0.001401,0.108275
43037,9956963,1.8447024276,1.005074,-1.354365,-1.225280,2.312045,-0.001399,0.108280
42953,9957047,1.8451172211,1.004358,-1.354571,-1.225143,2.312162,-0.001396,0.108285
42839,9957161,1.8456807966,1.003384,-1.354852,-1.224955,2.312320,-0.001392,0.108293
42797,9957203,1.8458886163,1.003025,-1.354955,-1.224885,2.312378,-0.001391,0.108296
42683,9957317,1.8464532053,1.002047,-1.355235,-1.224693,2.312537,-0.001387,0.108304
42677,9957323,1.8464829411,1.001995,-1.355250,-1.224683,2.312545,-0.001387,0.108304
42467,9957533,1.8475249910,1.000185,-1.355766,-1.224325,2.312838,-0.001380,0.108319
42323,9957677,1.8482410018,0.998938,-1.356119,-1.224075,2.313039,-0.001376,0.108329
41981,9958019,1.8499463178,0.995956,-1.356958,-1.223467,2.313518,-0.001365,0.108352
41801,9958199,1.8508465726,0.994375,-1.357400,-1.223139,2.313771,-0.001359,0.108365
41771,9958229,1.8509967981,0.994111,-1.357473,-1.223083,2.313813,-0.001358,0.108367
41729,9958271,1.8512072019,0.993741,-1.357576,-1.223006,2.313872,-0.001357,0.108370
41669,9958331,1.8515079570,0.993211,-1.357723,-1.222894,2.313957,-0.001355,0.108374
41543,9958457,1.8521402265,0.992096,-1.358031,-1.222658,2.314134,-0.001351,0.108383
41039,9958961,1.8546786121,0.987595,-1.359263,-1.221684,2.314847,-0.001335,0.108418
40949,9959051,1.8551334699,0.986784,-1.359483,-1.221505,2.314975,-0.001332,0.108424
40763,9959237,1.8560750294,0.985103,-1.359937,-1.221130,2.315240,-0.001326,0.108437
40709,9959291,1.8563487699,0.984613,-1.360068,-1.221020,2.315317,-0.001325,0.108441
40697,9959303,1.8564096247,0.984504,-1.360098,-1.220996,2.315334,-0.001324,0.108441
40529,9959471,1.8572624919,0.982975,-1.360507,-1.220650,2.315573,-0.001319,0.108453
40487,9959513,1.8574759716,0.982592,-1.360609,-1.220562,2.315633,-0.001318,0.108456
40361,9959639,1.8581170435,0.981439,-1.360916,-1.220298,2.315814,-0.001313,0.108465
40163,9959837,1.8591263638,0.979618,-1.361397,-1.219876,2.316097,-0.001307,0.108479
40013,9959987,1.8598925690,0.978232,-1.361761,-1.219552,2.316313,-0.001302,0.108489
39971,9960029,1.8601073494,0.977843,-1.361863,-1.219460,2.316373,-0.001301,0.108492
39857,9960143,1.8606908617,0.976784,-1.362140,-1.219209,2.316537,-0.001297,0.108500
39821,9960179,1.8608752920,0.976449,-1.362227,-1.219130,2.316589,-0.001296,0.108502
39761,9960239,1.8611828501,0.975890,-1.362373,-1.218996,2.316675,-0.001294,0.108507
39719,9960281,1.8613982706,0.975498,-1.362474,-1.218902,2.316736,-0.001293,0.108510
39659,9960341,1.8617061998,0.974937,-1.362620,-1.218767,2.316822,-0.001291,0.108514
39521,9960479,1.8624152670,0.973644,-1.362954,-1.218455,2.317021,-0.001287,0.108523
39317,9960683,1.8634655784,0.971722,-1.363447,-1.217985,2.317317,-0.001280,0.108538
39239,9960761,1.8638678399,0.970984,-1.363636,-1.217803,2.317430,-0.001278,0.108543
39227,9960773,1.8639297593,0.970870,-1.363665,-1.217775,2.317447,-0.001277,0.108544
38603,9961397,1.8671617727,0.964904,-1.365168,-1.216271,2.318355,-0.001258,0.108588
38393,9961607,1.8682548848,0.962871,-1.365672,-1.215745,2.318662,-0.001251,0.108603
38351,9961649,1.8684738363,0.962463,-1.365773,-1.215639,2.318724,-0.001250,0.108606
38327,9961673,1.8685990009,0.962229,-1.365830,-1.215578,2.318759,-0.001249,0.108607
38261,9961739,1.8689433885,0.961586,-1.365989,-1.215409,2.318856,-0.001247,0.108612
38183,9961817,1.8693507426,0.960825,-1.366175,-1.215209,2.318970,-0.001244,0.108617
38039,9961961,1.8701037808,0.959415,-1.366520,-1.214836,2.319182,-0.001240,0.108628
37997,9962003,1.8703236617,0.959002,-1.366620,-1.214726,2.319244,-0.001238,0.108631
37967,9962033,1.8704807872,0.958708,-1.366692,-1.214648,2.319288,-0.001237,0.108633
37811,9962189,1.8712987515,0.957170,-1.367065,-1.214235,2.319518,-0.001232,0.108644
37799,9962201,1.8713617352,0.957051,-1.367093,-1.214203,2.319535,-0.001232,0.108645
37781,9962219,1.8714562279,0.956873,-1.367136,-1.214155,2.319562,-0.001231,0.108646
37589,9962411,1.8724654210,0.954968,-1.367594,-1.213638,2.319845,-0.001225,0.108659
37511,9962489,1.8728760711,0.954191,-1.367779,-1.213426,2.319961,-0.001223,0.108665
37409,9962591,1.8734136568,0.953173,-1.368022,-1.213145,2.320112,-0.001219,0.108672
37361,9962639,1.8736668667,0.952692,-1.368136,-1.213013,2.320183,-0.001218,0.108676
37199,9962801,1.8745225314,0.951065,-1.368520,-1.212560,2.320423,-0.001213,0.108687
37181,9962819,1.8746177084,0.950884,-1.368563,-1.212510,2.320450,-0.001212,0.108688
37049,9962951,1.8753163045,0.949551,-1.368876,-1.212136,2.320646,-0.001208,0.108698
37013,9962987,1.8755070239,0.949187,-1.368961,-1.212033,2.320700,-0.001207,0.108700
36923,9963077,1.8759841850,0.948274,-1.369174,-1.211775,2.320834,-0.001204,0.108707
36749,9963251,1.8769081687,0.946503,-1.369585,-1.211270,2.321093,-0.001198,0.108719
