p,q,distance,px,py,pz,qx,qy,qz
88037,9911963,1.6662617887,1.249780,-1.250380,-1.219487,2.262777,-0.002807,0.105491
87743,9912257,1.6672121777,1.248726,-1.250986,-1.219756,2.263034,-0.002797,0.105508
87509,9912491,1.6679701564,1.247884,-1.251469,-1.219969,2.263239,-0.002790,0.105521
87443,9912557,1.6681841938,1.247646,-1.251605,-1.220029,2.263297,-0.002788,0.105525
87281,9912719,1.6687100234,1.247061,-1.251940,-1.220176,2.263439,-0.002783,0.105534
87221,9912779,1.6689049430,1.246844,-1.252064,-1.220231,2.263492,-0.002781,0.105538
87107,9912893,1.6692755407,1.246431,-1.252300,-1.220334,2.263592,-0.002778,0.105544
86861,9913139,1.6700763723,1.245538,-1.252810,-1.220556,2.263809,-0.002770,0.105558
86813,9913187,1.6702328111,1.245363,-1.252910,-1.220599,2.263852,-0.002769,0.105561
86783,9913217,1.6703306151,1.245254,-1.252972,-1.220626,2.263878,-0.002768,0.105563
86711,9913289,1.6705654380,1.244991,-1.253121,-1.220691,2.263942,-0.002766,0.105567
86561,9913439,1.6710550763,1.244444,-1.253433,-1.220825,2.264074,-0.002761,0.105575
86531,9913469,1.6711530728,1.244334,-1.253495,-1.220852,2.264101,-0.002760,0.105577
86477,9913523,1.6713295244,1.244137,-1.253607,-1.220900,2.264148,-0.002758,0.105580
86441,9913559,1.6714472001,1.244005,-1.253682,-1.220933,2.264180,-0.002757,0.105582
86357,9913643,1.6717219058,1.243697,-1.253857,-1.221008,2.264255,-0.002755,0.105587
86111,9913889,1.6725274405,1.242794,-1.254369,-1.221227,2.264473,-0.002747,0.105601
86069,9913931,1.6726651260,1.242639,-1.254456,-1.221264,2.264510,-0.002746,0.105603
86027,9913973,1.6728028569,1.242485,-1.254543,-1.221302,2.264547,-0.002744,0.105606
85847,9914153,1.6733936464,1.241821,-1.254919,-1.221461,2.264707,-0.002739,0.105616
85829,9914171,1.6734527713,1.241755,-1.254956,-1.221477,2.264723,-0.002738,0.105617
85703,9914297,1.6738668798,1.241289,-1.255219,-1.221589,2.264836,-0.002734,0.105624
85691,9914309,1.6739063401,1.241244,-1.255244,-1.221599,2.264846,-0.002734,0.105625
85523,9914477,1.6744591756,1.240622,-1.255595,-1.221747,2.264996,-0.002729,0.105634
85331,9914669,1.6750918839,1.239908,-1.255996,-1.221916,2.265168,-0.002723,0.105645
85313,9914687,1.6751512494,1.239842,-1.256034,-1.221932,2.265184,-0.002722,0.105646
85061,9914939,1.6759832529,1.238902,-1.256561,-1.222152,2.265409,-0.002714,0.105661
85049,9914951,1.6760229134,1.238857,-1.256587,-1.222163,2.265420,-0.002714,0.105662
85037,9914963,1.6760625777,1.238812,-1.256612,-1.222173,2.265431,-0.002714,0.105662
84827,9915173,1.6767573126,1.238026,-1.257052,-1.222356,2.265619,-0.002707,0.105674
84719,9915281,1.6771150549,1.237621,-1.257279,-1.222450,2.265716,-0.002704,0.105680
84701,9915299,1.6771747083,1.237554,-1.257316,-1.222466,2.265732,-0.002703,0.105682
84659,9915341,1.6773139329,1.237396,-1.257404,-1.222502,2.265770,-0.002702,0.105684
84533,9915467,1.6777318849,1.236922,-1.257669,-1.222611,2.265883,-0.002698,0.105691
84509,9915491,1.6778115422,1.236832,-1.257720,-1.222632,2.265905,-0.002697,0.105693
84503,9915497,1.6778314589,1.236809,-1.257732,-1.222637,2.265910,-0.002697,0.105693
84467,9915533,1.6779509789,1.236673,-1.257808,-1.222668,2.265943,-0.002696,0.105695
84377,9915623,1.6782499287,1.236334,-1.257997,-1.222746,2.266024,-0.002693,0.105700
84317,9915683,1.6784493474,1.236108,-1.258123,-1.222797,2.266078,-0.002691,0.105704
84179,9915821,1.6789083716,1.235586,-1.258414,-1.222916,2.266202,-0.002687,0.105711
84089,9915911,1.6792080070,1.235245,-1.258603,-1.222993,2.266284,-0.002684,0.105717
83969,9916031,1.6796078550,1.234790,-1.258856,-1.223096,2.266392,-0.002681,0.105724
83939,9916061,1.6797078768,1.234676,-1.258919,-1.223122,2.266419,-0.002680,0.105725
83663,9916337,1.6806292018,1.233625,-1.259501,-1.223357,2.266669,-0.002671,0.105741
83609,9916391,1.6808096987,1.233419,-1.259616,-1.223403,2.266718,-0.002669,0.105744
83591,9916409,1.6808698817,1.233351,-1.259654,-1.223418,2.266735,-0.002669,0.105745
83477,9916523,1.6812512418,1.232915,-1.259894,-1.223515,2.266838,-0.002665,0.105752
83417,9916583,1.6814520974,1.232686,-1.260021,-1.223566,2.266893,-0.002663,0.105755
82913,9917087,1.6831431051,1.230749,-1.261088,-1.223990,2.267352,-0.002648,0.105784
82847,9917153,1.6833650540,1.230494,-1.261228,-1.224045,2.267412,-0.002646,0.105788
82793,9917207,1.6835467361,1.230286,-1.261343,-1.224090,2.267461,-0.002644,0.105791
82721,9917279,1.6837891019,1.230007,-1.261496,-1.224150,2.267527,-0.002642,0.105795
82619,9917381,1.6841326940,1.229613,-1.261712,-1.224235,2.267620,-0.002639,0.105801
82613,9917387,1.6841529141,1.229589,-1.261725,-1.224240,2.267626,-0.002639,0.105802
82601,9917399,1.6841933573,1.229543,-1.261750,-1.224250,2.267637,-0.002638,0.105802
82571,9917429,1.6842944822,1.229427,-1.261814,-1.224275,2.267664,-0.002637,0.105804
82529,9917471,1.6844360982,1.229264,-1.261903,-1.224310,2.267703,-0.002636,0.105806
82487,9917513,1.6845777623,1.229101,-1.261993,-1.224345,2.267741,-0.002635,0.105809
82373,9917627,1.6849625211,1.228658,-1.262235,-1.224439,2.267846,-0.002631,0.105816
82241,9917759,1.6854084740,1.228144,-1.262516,-1.224548,2.267967,-0.002627,0.105823
82031,9917969,1.6861189265,1.227324,-1.262963,-1.224721,2.268160,-0.002620,0.105835
81869,9918131,1.6866678159,1.226690,-1.263309,-1.224854,2.268309,-0.002615,0.105845
81647,9918353,1.6874211700,1.225819,-1.263782,-1.225035,2.268514,-0.002609,0.105858
81359,9918641,1.6884005216,1.224684,-1.264398,-1.225269,2.268780,-0.002600,0.105874
81353,9918647,1.6884209491,1.224661,-1.264411,-1.225274,2.268786,-0.002599,0.105875
81293,9918707,1.6886252798,1.224423,-1.264539,-1.225322,2.268841,-0.002598,0.105878
81083,9918917,1.6893412245,1.223592,-1.264989,-1.225491,2.269036,-0.002591,0.105890
81041,9918959,1.6894845607,1.223425,-1.265079,-1.225525,2.269075,-0.002590,0.105893
81017,9918983,1.6895664891,1.223330,-1.265130,-1.225544,2.269097,-0.002589,0.105894
80963,9919037,1.6897508869,1.223116,-1.265246,-1.225588,2.269147,-0.002587,0.105897
80933,9919067,1.6898533652,1.222996,-1.265310,-1.225612,2.269175,-0.002586,0.105899
80777,9919223,1.6903866580,1.222376,-1.265645,-1.225736,2.269320,-0.002582,0.105908
80627,9919373,1.6909000818,1.221777,-1.265967,-1.225856,2.269460,-0.002577,0.105917
80621,9919379,1.6909206319,1.221753,-1.265980,-1.225860,2.269465,-0.002577,0.105917
80513,9919487,1.6912907061,1.221321,-1.266212,-1.225946,2.269566,-0.002573,0.105923
80273,9919727,1.6921142679,1.220359,-1.266728,-1.226136,2.269790,-0.002566,0.105937
80147,9919853,1.6925472881,1.219853,-1.266999,-1.226235,2.269908,-0.002562,0.105945
80021,9919979,1.6929807574,1.219345,-1.267271,-1.226333,2.270026,-0.002558,0.105952
79979,9920021,1.6931253471,1.219176,-1.267361,-1.226366,2.270065,-0.002557,0.105954
79889,9920111,1.6934353506,1.218813,-1.267555,-1.226436,2.270150,-0.002554,0.105960
79841,9920159,1.6936007799,1.218619,-1.267659,-1.226474,2.270195,-0.002553,0.105962
79823,9920177,1.6936628327,1.218546,-1.267698,-1.226488,2.270212,-0.002552,0.105964
79697,9920303,1.6940974608,1.218036,-1.267970,-1.226586,2.270330,-0.002548,0.105971
79613,9920387,1.6943874641,1.217695,-1.268151,-1.226651,2.270409,-0.002545,0.105976
79601,9920399,1.6944289096,1.217647,-1.268177,-1.226660,2.270420,-0.002545,0.105976
79589,9920411,1.6944703591,1.217598,-1.268203,-1.226669,2.270432,-0.002545,0.105977
79493,9920507,1.6948021038,1.217208,-1.268410,-1.226744,2.270522,-0.002542,0.105983
79379,9920621,1.6951963927,1.216744,-1.268657,-1.226831,2.270629,-0.002538,0.105989
79139,9920861,1.6960276923,1.215765,-1.269176,-1.227015,2.270856,-0.002531,0.106003
79043,9920957,1.6963606756,1.215372,-1.269384,-1.227089,2.270946,-0.002528,0.106009
78989,9921011,1.6965480953,1.215151,-1.269501,-1.227130,2.270997,-0.002526,0.106012
78593,9921407,1.6979250797,1.213523,-1.270361,-1.227429,2.271373,-0.002514,0.106035
78509,9921491,1.6982177513,1.213177,-1.270543,-1.227492,2.271452,-0.002511,0.106040
78479,9921521,1.6983223265,1.213053,-1.270608,-1.227515,2.271481,-0.002510,0.106042
78401,9921599,1.6985943446,1.212731,-1.270778,-1.227573,2.271555,-0.002508,0.106047
78203,9921797,1.6992856481,1.211910,-1.271209,-1.227721,2.271743,-0.002502,0.106058
78173,9921827,1.6993904908,1.211786,-1.271274,-1.227743,2.271772,-0.002501,0.106060
78017,9921983,1.6999360974,1.211138,-1.271614,-1.227859,2.271921,-0.002496,0.106069
77999,9922001,1.6999990978,1.211063,-1.271653,-1.227872,2.271938,-0.002495,0.106070
77951,9922049,1.7001671454,1.210863,-1.271758,-1.227907,2.271984,-0.002494,0.106073
77849,9922151,1.7005244710,1.210438,-1.271980,-1.227983,2.272081,-0.002491,0.106079
