p,p2,distance,pos_p_x,pos_p_y,pos_p_z,pos_p2_x,pos_p2_y,pos_p2_z
30557,30559,0.0000167039,-0.5104936387710987,0.8058168595394731,-0.9782914247109623,-0.5105005480723084,0.805802236051615,-0.9783046301086973
30491,30493,0.0000167586,-0.510288085968825,0.8063362066694315,-0.9778980895266717,-0.5102950258562963,0.8063215543641441,-0.9779113551002481
30467,30469,0.0000167785,-0.5102130899168427,0.8065253073602077,-0.9777545672373619,-0.5102200409688331,0.8065106445507235,-0.9777678547767515
30389,30391,0.0000168437,-0.5099684290133081,0.8071407976779127,-0.9772863013059193,-0.5099754165065797,0.8071261006368146,-0.9772996605444144
30269,30271,0.0000169448,-0.5095892512374305,0.8080904429678492,-0.9765604262957543,-0.509596295265752,0.8080756929835375,-0.9765738967747672
30137,30139,0.0000170572,-0.5091682314907133,0.80913890627643,-0.9757542377651014,-0.5091753383760076,0.8091240976604419,-0.9757678319329699
30089,30091,0.0000170983,-0.5090141052383168,0.8095211716869026,-0.9754590539303165,-0.5090212351562814,0.8095063416471527,-0.9754726934238479
30011,30013,0.0000171656,-0.5087624717504236,0.8101435023738595,-0.974977060063718,-0.5087696392981638,0.8101286374023976,-0.9749907736110747
29879,29881,0.0000172804,-0.5083332818960402,0.8111999335807403,-0.974154784491362,-0.5083405136994112,0.8111850091587861,-0.9741686244988575
29759,29761,0.0000173859,-0.5079394209427299,0.8121638979100662,-0.9733999981054362,-0.5079467117949208,0.8121489190733737,-0.9734139543342044
29669,29671,0.0000174658,-0.5076416968106082,0.8128891169787615,-0.9728293229126642,-0.5076490323512632,0.8128740970984731,-0.9728433671036968
29567,29569,0.0000175570,-0.5073018412363083,0.8137133715211718,-0.9721777623517053,-0.5073092278452807,0.813698304881937,-0.972191907068379
29399,29401,0.0000177090,-0.5067363792932897,0.8150764198451538,-0.9710933776995998,-0.506743851004414,0.8150612756234611,-0.9711076899491706
29387,29389,0.0000177200,-0.5066957154651266,0.8151740413524257,-0.9710153825820423,-0.5067031933026171,0.8151588915618976,-0.971029706892666
29207,29209,0.0000178854,-0.5060813320303028,0.8166425646082314,-0.9698367376050103,-0.5060889025362073,0.8166273308454803,-0.9698512443633516
29129,29131,0.0000179579,-0.5058125011953805,0.8172813821488849,-0.9693208737298304,-0.5058201123124179,0.8172661117403517,-0.9693354604503186
29021,29023,0.0000180591,-0.5054376520833344,0.81816836742306,-0.968601435768281,-0.5054453198916841,0.8181530460144277,-0.9686161341183955
28751,28753,0.0000183163,-0.5044870254394003,0.8203984730327135,-0.9667762364053861,-0.5044948373579796,0.820383022788325,-0.9667912185511831
28661,28663,0.0000184034,-0.5041658022145896,0.8211458879141609,-0.9661592704123468,-0.5041736629401177,0.8211303942954002,-0.9661743486835453
