t,Re(s),deviation,certified_radius
318000014.000000,0.5000000000,6.37e+00,0.00e+00
692500014.000000,0.5000000000,6.43e+00,0.00e+00
638500014.000000,0.5000000000,6.43e+00,0.00e+00
992500014.000000,0.5000000000,6.50e+00,0.00e+00
418000014.000000,0.5000000000,6.51e+00,0.00e+00
562500014.000000,0.5000000000,6.55e+00,0.00e+00
57500014.000000,0.5000000000,6.56e+00,0.00e+00
748000014.000000,0.5000000000,6.59e+00,0.00e+00
672500014.000000,0.5000000000,6.60e+00,0.00e+00
868500014.000000,0.5000000000,6.70e+00,0.00e+00
685500014.000000,0.5000000000,6.85e+00,0.00e+00
953500014.000000,0.5000000000,6.95e+00,0.00e+00
223000014.000000,0.5000000000,6.95e+00,0.00e+00
954500014.000000,0.5000000000,7.00e+00,0.00e+00
353000014.000000,0.5000000000,7.04e+00,0.00e+00
958500014.000000,0.5000000000,7.04e+00,0.00e+00
588500014.000000,0.5000000000,7.09e+00,0.00e+00
567500014.000000,0.5000000000,7.20e+00,0.00e+00
88500014.000000,0.5000000000,7.29e+00,0.00e+00
463500014.000000,0.5000000000,7.43e+00,0.00e+00
663500014.000000,0.5000000000,7.50e+00,0.00e+00
775000014.000000,0.5000000000,7.51e+00,0.00e+00
53000014.000000,0.5000000000,7.53e+00,0.00e+00
857000014.000000,0.5000000000,7.57e+00,0.00e+00
898500014.000000,0.5000000000,7.69e+00,0.00e+00
878000014.000000,0.5000000000,7.85e+00,0.00e+00
694500014.000000,0.5000000000,7.87e+00,0.00e+00
966000014.000000,0.5000000000,7.90e+00,0.00e+00
958000014.000000,0.5000000000,7.92e+00,0.00e+00
743500014.000000,0.5000000000,7.92e+00,0.00e+00
924000014.000000,0.5000000000,7.95e+00,0.00e+00
694000014.000000,0.5000000000,8.06e+00,0.00e+00
607500014.000000,0.5000000000,8.09e+00,0.00e+00
808000014.000000,0.5000000000,8.13e+00,0.00e+00
770500014.000000,0.5000000000,8.17e+00,0.00e+00
913500014.000000,0.5000000000,8.43e+00,0.00e+00
78500014.000000,0.5000000000,8.46e+00,0.00e+00
572000014.000000,0.5000000000,8.47e+00,0.00e+00
204000014.000000,0.5000000000,8.51e+00,0.00e+00
513000014.000000,0.5000000000,8.51e+00,0.00e+00
598000014.000000,0.5000000000,8.55e+00,0.00e+00
923500014.000000,0.5000000000,8.56e+00,0.00e+00
558000014.000000,0.5000000000,8.67e+00,0.00e+00
893000014.000000,0.5000000000,8.74e+00,0.00e+00
848500014.000000,0.5000000000,8.77e+00,0.00e+00
533000014.000000,0.5000000000,8.84e+00,0.00e+00
954000014.000000,0.5000000000,8.99e+00,0.00e+00
690500014.000000,0.5000000000,9.11e+00,0.00e+00
813500014.000000,0.5000000000,9.14e+00,0.00e+00
798000014.000000,0.5000000000,9.25e+00,0.00e+00
458000014.000000,0.5000000000,9.37e+00,0.00e+00
645500014.000000,0.5000000000,9.56e+00,0.00e+00
453500014.000000,0.5000000000,9.57e+00,0.00e+00
293500014.000000,0.5000000000,1.00e+01,0.00e+00
768500014.000000,0.5000000000,1.01e+01,0.00e+00
357500014.000000,0.5000000000,1.03e+01,0.00e+00
242500014.000000,0.5000000000,1.03e+01,0.00e+00
423000014.000000,0.5000000000,1.03e+01,0.00e+00
833000014.000000,0.5000000000,1.04e+01,0.00e+00
838000014.000000,0.5000000000,1.08e+01,0.00e+00
743000014.000000,0.5000000000,1.10e+01,0.00e+00
452500014.000000,0.5000000000,1.10e+01,0.00e+00
860000014.000000,0.5000000000,1.11e+01,0.00e+00
433000014.000000,0.5000000000,1.11e+01,0.00e+00
913000014.000000,0.5000000000,1.11e+01,0.00e+00
626500014.000000,0.5000000000,1.12e+01,0.00e+00
872500014.000000,0.5000000000,1.12e+01,0.00e+00
643000014.000000,0.5000000000,1.23e+01,0.00e+00
881500014.000000,0.5000000000,1.26e+01,0.00e+00
737500014.000000,0.5000000000,1.28e+01,0.00e+00
838500014.000000,0.5000000000,1.31e+01,0.00e+00
953000014.000000,0.5000000000,1.31e+01,0.00e+00
528000014.000000,0.5000000000,1.32e+01,0.00e+00
473000014.000000,0.5000000000,1.36e+01,0.00e+00
922000014.000000,0.5000000000,1.51e+01,0.00e+00
728000014.000000,0.5000000000,1.53e+01,0.00e+00
624000014.000000,0.5000000000,1.57e+01,0.00e+00
957000014.000000,0.5000000000,1.63e+01,0.00e+00
688000014.000000,0.5000000000,1.69e+01,0.00e+00
943000014.000000,0.5000000000,1.76e+01,0.00e+00
768000014.000000,0.5000000000,1.85e+01,0.00e+00
638000014.000000,0.5000000000,1.86e+01,0.00e+00
777500014.000000,0.5000000000,1.97e+01,0.00e+00
518000014.000000,0.5000000000,2.47e+01,0.00e+00
903000014.000000,0.5000000000,2.57e+01,0.00e+00
738000014.000000,0.5000000000,3.56e+01,0.00e+00
683000014.000000,0.5000000000,3.81e+01,0.00e+00
